,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,license,dateupload,datetaken,datetakengranularity,datetakenunknown,views,tags,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_m,height_m,width_m
52961934323,52961934323,32664945@N03,ce752a51d1,65535,66,Blue (Hour) & Blue (Danube),1,0,0,0,2023-06-09 08:01:55,2023-06-08 21:34:25,0,0,17,wien vienna austria europa europ evening abend blauestunde bluehour donau danube river fluss milllenniumtower millenniumcity berthavonsuttner ship schiff schule school skyscraper hochhaus lights lichter reflection spiegelung water wasser hdr abart starburst911 urban urbanelandschaft urbanlandscape city cityscape stadt stadtlandschaft,,48.247404,16.386333,16,0,,2779467,1,0,0,0,https://live.staticflickr.com/65535/52961934323_ce752a51d1.jpg,334,500
52959712752,52959712752,158438800@N02,0837c0b6cb,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, A1 110 Linie 62",1,0,0,5,2023-06-08 18:36:51,2016-12-16 15:06:28,0,0,2,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52959712752_0837c0b6cb.jpg,312,500
52960454784,52960454784,158438800@N02,3356d76b06,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, B1 750 Linie 6",1,0,0,5,2023-06-08 18:36:50,2016-12-16 15:05:15,0,0,3,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960454784_3356d76b06.jpg,333,500
52960308441,52960308441,158438800@N02,981b9d2a6c,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, E1 4510+c3 1234 Linie 6",1,0,0,5,2023-06-08 18:36:52,2016-12-16 15:15:07,0,0,5,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960308441_981b9d2a6c.jpg,375,500
52960308431,52960308431,158438800@N02,416a6aff5d,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, E2 4074+c5 Linie 6",1,0,0,5,2023-06-08 18:36:49,2016-12-16 15:03:46,0,0,3,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960308431_416a6aff5d.jpg,333,500
52960454644,52960454644,158438800@N02,3927eae0e7,65535,66,"2016-12-16 AT Wien 05 Margareten & Wien 10 Favoriten, Hst. Matzleinsdorfer Platz S, B 622 Linie 6",1,0,0,5,2023-06-08 18:36:48,2016-12-16 15:02:40,0,0,3,vienna underground tram station,,48.180491,16.358688,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52960454644_3927eae0e7.jpg,333,500
52959507291,52959507291,142402362@N06,a9111a8f5b,65535,66,Is it art?,1,0,0,0,2023-06-08 11:45:18,2023-05-30 12:10:25,0,0,211,wien art museum austria österreich ausstellung nikon,,48.203836,16.357786,16,0,,2770853,1,0,0,0,https://live.staticflickr.com/65535/52959507291_a9111a8f5b.jpg,281,500
52959506334,52959506334,80234356@N04,e05181945f,65535,66,Naolfi with Eve,1,0,0,0,2023-06-08 09:53:57,2023-05-21 10:29:29,0,0,541,wien tiere naolfi canoneosr3 rf2470mmf28lisusm cat animal trust vertrauen family familie iso3200,,48.150447,16.321392,15,0,,2782661,1,0,0,0,https://live.staticflickr.com/65535/52959506334_e05181945f.jpg,500,349
52959613455,52959613455,138838583@N08,c0493dd32c,65535,66,Wien - Brunnen,1,0,0,0,2023-06-08 08:10:26,2023-05-06 15:33:57,0,0,164,,,48.193188,16.380627,16,0,,2761393,1,0,0,0,https://live.staticflickr.com/65535/52959613455_c0493dd32c.jpg,333,500
52959581755,52959581755,126620602@N06,8a0910e6d9,65535,66,Surya und ihr Baby,1,0,0,1,2023-06-08 07:40:15,2023-06-07 12:08:08,0,0,227,orangutan affe ape zoo wien vienna schönbrunn baby,,48.183103,16.300293,16,0,,2776421,1,0,0,0,https://live.staticflickr.com/65535/52959581755_8a0910e6d9.jpg,333,500
52956485242,52956485242,193997330@N08,38e742debb,65535,66,Super-8er-Bahn,1,0,0,5,2023-06-07 08:58:17,2021-03-31 13:32:19,0,0,0,,,48.216438,16.397097,16,0,,2772614,1,0,0,0,https://live.staticflickr.com/65535/52956485242_38e742debb.jpg,375,500
52955574692,52955574692,49726913@N00,250791dc5c,65535,66,MA48,1,0,0,0,2023-06-06 21:27:18,2023-05-29 17:06:56,0,0,0,fassadenbegrünung,,48.180233,16.353594,16,0,,2771956,1,0,0,0,https://live.staticflickr.com/65535/52955574692_250791dc5c.jpg,500,281
52955897751,52955897751,25507134@N00,e070585857,65535,66,20230425_Terrasse_010,1,0,0,4,2023-06-06 19:05:01,2023-04-25 09:53:17,0,0,0,terrasse 2023 frühling spring pflanze plant kaktus cactaceae,,48.248211,16.442611,16,0,,3322743,1,0,0,0,https://live.staticflickr.com/65535/52955897751_e070585857.jpg,375,500
52956346638,52956346638,25507134@N00,01d87c4072,65535,66,20230425_Terrasse_014,1,0,0,4,2023-06-06 19:05:01,2023-04-25 09:53:20,0,0,0,terrasse 2023 frühling spring pflanze plant kaktus cactaceae,,48.248211,16.442611,16,0,,3322743,1,0,0,0,https://live.staticflickr.com/65535/52956346638_01d87c4072.jpg,500,375
52955897456,52955897456,25507134@N00,5c1f535bd5,65535,66,20230425_Terrasse_013,1,0,0,4,2023-06-06 19:05:05,2023-04-25 10:55:25,0,0,0,terrasse 2023 frühling spring pflanze plant kaktus cactaceae opuntia,,48.248211,16.442638,16,0,,3322743,1,0,0,0,https://live.staticflickr.com/65535/52955897456_5c1f535bd5.jpg,500,375
52955296162,52955296162,25507134@N00,564d71677e,65535,66,20230425_Aussaat_008,1,0,0,4,2023-06-06 19:05:06,2023-04-25 11:33:47,0,0,0,pflanze plant terrasse 2023 keimling jungpflanze,,48.248219,16.442563,16,0,,3322743,1,0,0,0,https://live.staticflickr.com/65535/52955296162_564d71677e.jpg,500,375
52956275965,52956275965,25507134@N00,7f1da0b608,65535,66,20230425_Aussaat_010,1,0,0,4,2023-06-06 19:05:07,2023-04-25 11:48:52,0,0,0,terrasse 2023 frühling spring pflanze plant aussaat same,,48.248247,16.442622,16,0,,3322743,1,0,0,0,https://live.staticflickr.com/65535/52956275965_7f1da0b608.jpg,375,500
